temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.86256283149125,3.87709776175099,-1,-0.5,0.787746865647064,1.21517586653247,3.46633935729829
40C,NA,NA,NA,NA,NA,NA,NA
32C,19.1094816472845,1.3102024247828,-1,0.5,NaN,NaN,60.5962600485388
34C,3.20633280260939,1.0833449209773,-0.9999,0.5001,NaN,NaN,385.17377453735
36C,7.33387400066961,1.08925870975815,-0.9999,0.5001,NaN,NaN,8.76283585404695
38C,2.84777953144848,1.88376261044096,-1,0.5,NaN,NaN,5.72112185431513
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,3.9594986715961,1.42449338917688,1,-0.5,NaN,NaN,68.4786859717496
36C,0.712143057878241,1.55524406557778,1,-0.4999,NaN,NaN,19.8373097809299
38C,NA,NA,NA,NA,NA,NA,NA
40C,1.50708985040485,3.65190359387688,1.0001,-0.4999,NaN,NaN,337.942913147294
32C,0.498557563203958,1.18256438085246,1.0001,0.5001,0.078956611257616,0.918202654462145,124.761344644601
34C,3.9853298376601,1.24680417598841,1,0.5,0.682784980066806,2.52841296778741,71.2266997327428
36C,0.748720661057574,1.22917115577714,1,0.5,0.262912725891573,1.10374494225517,20.1064542846337
38C,1.92211536411759,1.92225804676493,1,0.5,0.63213418359834,1.41416107527858,8.09251683431234
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.50831338907141,0.527119428260173,-0.9999,1.0001,NaN,NaN,476.232130247413
34C,NA,NA,NA,NA,NA,NA,NA
36C,7.34288226948114,0.942085695163367,-0.9999,1.0001,NaN,NaN,8.43072542395659
38C,2.82094389091118,0.863532919700752,-1,1,NaN,NaN,8.84712896483486
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,3.94213131939401,1.51365457104571,1,-1,NaN,NaN,67.227146362472
36C,0.691665107520916,1.71816122730422,1,-0.9999,NaN,NaN,20.0854752208419
38C,1.89036791328008,4.94688321546344,1,-0.9999,NaN,NaN,5.29965918857407
40C,1.49185416019833,4.99231318699464,1.0001,-0.9999,NaN,NaN,330.141808988244
32C,4.50976163775314,1.49093072283816,1,1,0.614348989233438,1.73919413391576,102.593883233412
34C,3.9893728374382,1.15795136816211,1,1,0.534732703984472,1.85612471287267,72.731783040347
36C,0.75353982282707,1.06409910445348,1,1,-0.116749731689376,0.84151539495939,20.7071569288359
38C,1.90064241727507,0.8706647068174,1,1,0.222636184803425,1.47749064081739,11.664158245763
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,3.79015028621779,1.44920407739267,-0.9999,1.5001,NaN,NaN,347.490484847405
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.9344224169448,0,-1,1.5,NaN,NaN,13.7214886765102
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,3.92223180754679,1.60302895419843,1,-1.5,NaN,NaN,66.0500543474943
36C,0.672677211994402,1.88165577780198,1,-1.4999,NaN,NaN,20.496543031884
38C,1.87201624698136,5.99534515899207,1,-1.4999,NaN,NaN,5.93345013666782
40C,1.41137834941292,7.73661085341782,1.0001,-1.4999,NaN,NaN,315.647491853546
32C,4.46514497727719,1.40527713557293,1,1.5,0.511069806917611,1.45542946392066,102.926577021531
34C,3.98406932618971,1.06894994155691,1,1.5,0.40652353369007,1.5763009234939,74.3269645764804
36C,0.736454363332077,0.896462028890603,1,1.5,-0.507324506903471,0.740050473377621,21.5808233420959
38C,1.97758114819623,0,1,1.5,-Inf,Inf,16.4414098845328
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,2.00168202789087,1.44919599054187,-0.9999,2.0001,NaN,NaN,347.49048485338
34C,1.57545182931443,1.08334344514255,-0.99991540758098,2.00008820104529,NaN,NaN,385.173774538616
36C,NA,NA,NA,NA,NA,NA,NA
38C,3.80559351983604,0,-1,2,NaN,NaN,32.5646755391906
40C,2.44318137792574,0,-1,2,NaN,NaN,58.0227364624045
32C,4.77018946884084,2.00456836097758,1,-2,NaN,NaN,100.604200966839
34C,3.90153797627765,1.6925605429959,1,-2,NaN,NaN,64.9416931968287
