,21:19:33,32.1,,,,,,,,,,,,0.083,0.89,0.852,0.849,0.642,0.826,0.741,1.149,1.138,1.136,0.084,,,,,,,,,,,
,21:29:33,32.1,,,,,,,,,,,,0.083,0.896,0.856,0.85,0.621,0.827,0.768,1.144,1.161,1.14,0.084,,,,,,,,,,,
,21:39:33,32.1,,,,,,,,,,,,0.083,0.901,0.86,0.859,0.628,0.843,0.829,1.16,1.116,1.153,0.084,,,,,,,,,,,
,21:49:33,32,,,,,,,,,,,,0.083,0.903,0.861,0.859,0.671,0.842,0.766,1.158,1.151,1.149,0.084,,,,,,,,,,,
,21:59:33,32,,,,,,,,,,,,0.083,0.905,0.865,0.859,0.649,0.863,0.725,1.177,1.171,1.154,0.084,,,,,,,,,,,
,22:09:33,32.1,,,,,,,,,,,,0.083,0.907,0.867,0.867,0.653,0.86,0.74,1.121,1.18,1.141,0.084,,,,,,,,,,,
,22:19:33,32.1,,,,,,,,,,,,0.083,0.911,0.87,0.868,0.659,0.865,0.753,1.139,1.137,1.152,0.084,,,,,,,,,,,
,22:29:33,32.1,,,,,,,,,,,,0.083,0.914,0.872,0.872,0.691,0.873,0.803,1.172,1.171,1.149,0.084,,,,,,,,,,,
,22:39:33,32,,,,,,,,,,,,0.083,0.912,0.872,0.868,0.674,0.871,0.788,1.182,1.176,1.152,0.084,,,,,,,,,,,
,22:49:33,32,,,,,,,,,,,,0.083,0.915,0.876,0.874,0.681,0.88,0.813,1.184,1.185,1.139,0.084,,,,,,,,,,,
,22:59:33,32.1,,,,,,,,,,,,0.083,0.918,0.877,0.876,0.705,0.87,0.805,1.205,1.17,1.141,0.084,,,,,,,,,,,
,23:09:33,32.1,,,,,,,,,,,,0.083,0.92,0.879,0.876,0.703,0.893,0.867,1.183,1.162,1.149,0.084,,,,,,,,,,,
,23:19:33,32.1,,,,,,,,,,,,0.083,0.922,0.88,0.878,0.695,0.906,0.761,1.173,1.139,1.149,0.084,,,,,,,,,,,
,23:29:33,32,,,,,,,,,,,,0.083,0.924,0.884,0.882,0.715,0.91,0.795,1.182,1.147,1.143,0.084,,,,,,,,,,,
,23:39:33,32,,,,,,,,,,,,0.083,0.925,0.887,0.882,0.676,0.889,0.834,1.183,1.137,1.171,0.084,,,,,,,,,,,
,23:49:33,32.1,,,,,,,,,,,,0.083,0.928,0.892,0.883,0.713,0.869,0.827,1.19,1.176,1.16,0.084,,,,,,,,,,,
